author,published_at,updated_at,like_count,text,cyberbullying_type,label
@carlosmartinezjacquet8111,2025-02-28T20:41:47Z,2025-02-28T20:41:47Z,3,I am beginning to like Mr Trump. Finally some rationality. The little Ukrainian dictator is desperate and disrespectful,"toxicity, threat",bullying
@thecaseclosedpikachufiles,2024-11-05T19:57:16Z,2024-11-05T19:57:16Z,2,I might have said something similar to what am about to say. But You know the apologies that these sick twisted people give don’t mean anything. They aren’t sorry for killing these innocent people. They are only sorry because they know for a fact that their lives are over. And they are going to spend the rest of their lives in prison,toxicity,bullying
@remiemie1407,2025-03-01T06:30:57Z,2025-03-01T06:30:57Z,0,Ukraine is a terrorist group that kills its own people and then blames Russia.,"toxicity, threat",bullying
@zawodowyporywaczdzieci9877,2025-03-03T20:11:29Z,2025-03-03T20:11:29Z,1,3 clowns,"toxicity, threat",bullying
@skleetbeast,2025-03-02T14:16:34Z,2025-03-02T14:16:34Z,0,"Damn, to think i liked Vance before this, yikes.","toxicity, identity_attack",bullying
@ThomasGirma-ir4ov,2025-02-28T21:22:38Z,2025-02-28T21:22:38Z,21,Zelensky&#39;s is really a comedy person,non-toxic,non-bullying
@Faborèdream,2019-07-08T18:30:02Z,2019-07-08T18:30:02Z,5,Half video toh reporter ne question me hi khatm me diya 😑😑 wo bhi itna elaborate krke,non-toxic,non-bullying
@DegoOne,2018-08-08T21:24:01Z,2018-08-08T21:24:01Z,0,Al primero se le rompió su celular pobre le deben su teléfono idiotas,"toxicity, threat",bullying
@pavithranthilakanathan3137,2025-03-02T09:16:35Z,2025-03-02T09:16:35Z,0,What an absolute loser this man Trump is lol.,"toxicity, threat",bullying
@MrArudark,2025-03-03T23:40:07Z,2025-03-03T23:40:07Z,1,Vance is such a cuck,"toxicity, threat",bullying
,2025-02-28T19:26:55Z,2025-02-28T19:26:55Z,1,"Can Trump this total moronic fuckwit get any worse, it&#39;s like some monty python sketch where the stupidest man in the world becomes president.....like a real life forest gump.","toxicity, identity_attack, threat",bullying
@roquedemelo9832,2025-03-02T23:19:45Z,2025-03-02T23:19:45Z,1,What a STUPID ORANGE CLOWN we have sitting in the White House.,"toxicity, threat",bullying
@WatchMyVideoCovidTruthNoBiolab,2025-03-08T23:33:16Z,2025-03-08T23:33:16Z,0,"I voted for Trump, and what the hell is this!?<br><br>(No I&#39;m not having regret, because Harris was still worse.)",toxicity,bullying
@jerongil,2025-03-01T16:17:51Z,2025-03-01T16:17:51Z,0,Zelensky very bold,non-toxic,non-bullying
@jlac2box,2025-02-28T19:37:41Z,2025-02-28T19:37:41Z,1,Kudos 👏  Trump! 🇺🇲  watching Trump/ Vance Putting a ungrateful whiny Zelensky in his place was pure gold. 😊,non-toxic,non-bullying
@alimoeed2577,2019-06-22T15:14:58Z,2019-06-22T15:14:58Z,0,This anchor is dumb it’s the other way round she is the one who has been taking advantage of men and sometimes twice her age too,"toxicity, threat",bullying
@aphaseelec,2024-02-19T12:40:43Z,2024-02-19T12:40:43Z,0,They gave that guy 175 days in jail. Are you fucking kidding me,"toxicity, identity_attack",bullying
@greenap98,2025-03-04T20:06:53Z,2025-03-04T20:06:53Z,0,an arrogant act of trump&#39;s.glad zelensky didn&#39;t eat the lunch with trump.,non-toxic,non-bullying
@Stonewielder,2025-03-01T04:36:48Z,2025-03-01T04:36:48Z,0,This is absolutely disgusting.,"toxicity, threat",bullying
@smith11657,2025-03-01T19:44:43Z,2025-03-01T19:44:43Z,0,I am so tired of Zelensky. He asking these and demand that. Why should US support Ukraine. Biden has spent too much money to Ukraine. Where are all these money. Probably in the pocket of Zelesky team.,non-toxic,non-bullying
@tangowilliams1244,2025-03-01T01:42:22Z,2025-03-01T01:42:22Z,23230,This is so far fetched the Simpsons couldn’t even predict it,non-toxic,non-bullying
@marcdwayne6091,2017-03-21T02:30:29Z,2017-03-21T02:30:29Z,0,Who ever made this video is an asshole,"toxicity, identity_attack, threat",bullying
@chrisschaffer1118,2018-03-09T04:25:09Z,2018-03-09T04:25:09Z,0,Your a bully,"toxicity, threat",bullying
@lindelquen8928,2024-01-31T19:33:14Z,2024-01-31T19:33:14Z,0,listooooo!!!!!,non-toxic,non-bullying
@pedronuno7406,2017-07-20T15:58:09Z,2017-07-20T15:58:09Z,0,fuck,"toxicity, identity_attack",bullying
@namrata29t,2020-09-01T11:20:52Z,2020-09-01T11:20:52Z,0,He is damn nervous,"toxicity, identity_attack",bullying
@alicjagrodzka2012,2025-03-01T12:02:40Z,2025-03-01T12:02:40Z,0,You lying dog… you bombed own Schools  and hospitals,"toxicity, threat",bullying
@roxy8534,2024-04-06T15:32:13Z,2024-04-06T15:32:13Z,0,"Dude he got the punch he deserve, but the other got sent in jail. Disgusting.","toxicity, threat",bullying
@jeffthekillerpanda841,2017-03-28T02:49:39Z,2017-03-28T02:49:39Z,0,i cant even anymore XD DX,non-toxic,non-bullying
@BadJovipraying,2025-03-07T13:39:26Z,2025-03-07T13:39:26Z,0,what a clown show,"toxicity, threat",bullying
@gabrielbuiculescu1617,2025-02-28T20:31:17Z,2025-02-28T20:31:17Z,210,"The bridge of friendship between Europe and USA built after WW2 is totally broken. We, in Europe should be minding our own business no matter the costs. In Zelensky&#39;s place could be tomorrow any european president and treated the very same. What a shame for american policy to come so low....Insane, abs insane.......",non-toxic,non-bullying
@AzizAlmutawa-kq1mk,2024-04-19T01:17:31Z,2024-04-19T01:17:31Z,1,Mr beast did a mistake 067suck because of,toxicity,bullying
@zoltankovacs3061,2025-03-01T02:04:22Z,2025-03-01T02:04:22Z,0,Zelensky. What a Joker.     A dictator killer. A war criminal against he’s own people and country.<br>There are videos  that Russian soldiers find  in   small town farm people old ladies and old man kids.  Killed by Ukrainian soldiers in their basements with tide hand behind their backs.,toxicity,bullying
@dailyvlogsbysaurabhjain530,2019-10-05T11:29:08Z,2019-10-05T11:29:08Z,0,U bloody bastard,"toxicity, identity_attack, threat",bullying
@shomitam,2025-03-02T03:38:27Z,2025-03-02T03:38:27Z,0,Vance is a sick man,"toxicity, threat",bullying
@mikecook8054,2025-03-01T20:17:42Z,2025-03-01T20:17:42Z,0,Just goes to show how much the Tangerine Tyrant REALLY knows.<br>IDIOT!,"toxicity, threat",bullying
@CapCut_Editz-1,2024-04-03T13:11:35Z,2024-04-03T13:11:35Z,1,"The winner guy is a cheater, cuz while the music is playing, he stops at a chair for a moment, so when the music stops, he sits easily.😠😡","toxicity, threat",bullying
@taytayq900robloxanimatoral7,2017-06-06T21:30:26Z,2017-06-06T21:30:26Z,0,I&#39;m not subbing .you CANT steal peoples things idiot! if you do go to jail!,"toxicity, threat",bullying
@Annoymous.Browser,2025-03-01T07:52:55Z,2025-03-01T07:52:55Z,1,I can&#39;t believe how many uneducated imbeciles are in the comments. <br><br>Zelensky needs to accept he IS NOT IN THE POSITION TO DO ANYTHING.<br><br>I am with Trump and JD. Well done gentlemen.,"toxicity, threat",bullying
@GleiderPachecoValdes,2025-06-03T14:59:30Z,2025-06-03T14:59:30Z,1,Yo lo juego y soy fan tuyo pero vivo en Cuba 🇨🇺 😅 me mandas  un regado 😢😅😊,non-toxic,non-bullying
@christianramamonjisoa14,2025-04-18T05:13:04Z,2025-04-18T05:13:04Z,0,Should be life for life. Not life for 15years. America&#39;s law is so dumb,"toxicity, threat",bullying
@saraw5942,2024-03-07T01:26:24Z,2024-03-07T01:26:24Z,0,Mother????? Looked like another man to me? WTF?,"toxicity, identity_attack",bullying
@user-re9vl8gg2k,2025-03-01T03:57:05Z,2025-03-01T03:57:05Z,0,"&quot;What if anything. What if a bomb drops on your head right now?!&quot;  😂😂😂😂  My dad used to say,  ask a stupid question, get a stupid answer!  But that answer was brilliant!  GOD BLESS THE TRUMP VANCE ADMINISTRATION AND AMERICA!","toxicity, threat",bullying
@jmercader,2025-02-28T21:53:02Z,2025-02-28T21:53:02Z,0,America is disgusting at the moment,"toxicity, threat",bullying
@julianevlogiev2296,2025-02-28T21:12:46Z,2025-02-28T21:12:46Z,116,Zelensky is absolute CLOWN...,"toxicity, threat",bullying
@Ленулькин,2024-09-20T19:12:29Z,2024-09-20T19:12:29Z,0,Я1,non-toxic,non-bullying
@Kimjongu7664,2025-03-01T01:58:03Z,2025-03-01T01:58:03Z,0,"Trump is so concerned about the kllings in Russia and ukraine but the same killing occurs in palestine/ lebanon , and he is not concerned about it,,, putin fear clearly visible on his face",non-toxic,non-bullying
@heavysoftness8530,2025-02-28T20:53:07Z,2025-02-28T20:53:07Z,1,🤢🤮where are the righteous Americans? Those are dangerous clowns on power. Not sure how it will be domestically but your foreigner policies will put oil on fire around the world. God bless Ukraine. Long live the Defenders LONG LIVE UKRAINE ✌🏻🇺🇦💪🏻❤️🇪🇺,"toxicity, threat",bullying
@rahelbajramovic4063,2024-10-21T17:04:15Z,2024-10-21T17:04:15Z,2,Izrael is nazi state,"toxicity, threat",bullying
@ladytamaya4737,2025-05-13T17:36:14Z,2025-05-13T17:36:14Z,0,"The jail inmates will take care of him … especially when it comes to murder of children <a href=""https://www.youtube.com/watch?v=FE2In6NKRN4&amp;t=1224"">20:24</a>",non-toxic,non-bullying
@ariyavanchin7658,2025-05-15T14:53:04Z,2025-05-15T14:53:04Z,2,Hahahaha🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡,non-toxic,non-bullying
@Mahh.fb7,2024-02-21T21:23:59Z,2024-02-21T21:23:59Z,0,A 067 n  faz OnlyFans e é youtuber.😂😂😂❤,non-toxic,non-bullying
@matijaradulovic886,2019-06-24T20:54:04Z,2019-06-24T20:54:04Z,0,You are idiot.Why are you stealing others things?,"toxicity, threat",bullying
@sarahjean1O2,2025-02-28T20:10:47Z,2025-02-28T20:10:47Z,0,Let him talk to me this way,non-toxic,non-bullying
@frednivelo8221,2025-02-28T20:21:51Z,2025-02-28T20:21:51Z,0,2 scumbags,"toxicity, threat",bullying
@thenagajaku001,2024-05-09T12:13:28Z,2024-05-09T12:13:28Z,0,FUCK COURT,"toxicity, identity_attack",bullying
@azaanr7063,2025-03-01T20:16:02Z,2025-03-01T20:16:02Z,6,Trump 2.0 is a different beast .,"toxicity, threat",bullying
@trustedisherev1713,2017-03-18T03:21:10Z,2017-03-18T03:21:10Z,0,Not even funny stealing people&#39;s shit and risking their phones to get cracked like the first one his phone is probably done,"toxicity, identity_attack",bullying
@v3le,2024-02-01T06:14:49Z,2024-02-01T06:14:49Z,2,Fucking security guards. Where they were when the tragedy happened?,"toxicity, identity_attack, threat",bullying
@SHAAAaaaOLiiiiN,2025-03-06T13:06:25Z,2025-03-06T13:07:10Z,1,"<a href=""https://www.youtube.com/watch?v=v_kTNIYsFnQ&amp;t=46"">0:46</a> - dude clearly says &quot;c*<b>a bl**t</b> haha and in Russian language, haha. Zelensky is mad.",toxicity,bullying
@storrmxy,2017-08-23T06:33:56Z,2017-08-23T06:33:56Z,0,One day u will get beating,non-toxic,non-bullying
@darkhorse9472,2025-03-03T16:28:13Z,2025-03-03T16:29:48Z,0,Kicking a man when he&#39;s down. What a narcissist.,"toxicity, threat",bullying
@LouisHeueck,2025-02-04T02:30:42Z,2025-02-04T02:30:42Z,0,Ich kan dich nicht aboniren,non-toxic,non-bullying
@pranabbiswas7760,2025-03-02T16:25:31Z,2025-03-02T16:25:31Z,1,World should know that Zelensky is real jokar. He is not serious guy. President Trump should get out this jokar from the meeting. Ignorance amounts to darkness.,"toxicity, threat",bullying
@mansoorm5109,2020-06-21T17:59:48Z,2020-06-21T17:59:48Z,49,"But still I trust u Hrithik , The real Drama Boy sitting In front of  u... Man ☺️",non-toxic,non-bullying
@kalleljavier7717,2017-07-22T02:24:45Z,2017-07-22T02:24:45Z,0,Mano as vezes da do dos cara,non-toxic,non-bullying
@willankhatter,2025-03-01T12:48:59Z,2025-03-01T12:48:59Z,0,Americans wanted this garbage when they voted ..,"toxicity, threat",bullying
@araara4746,2025-03-01T02:40:06Z,2025-03-01T02:43:31Z,0,"If Zelensky decides to make peace with Russia on his own, Ukraine will only lose the territory already controlled by Russia, while with Trump&#39;s mediation, Ukraine will still lose the land controlled by Russia + natural resources taken by the US.<br>Unfortunately, the fool continues to try to persuade Trump to continue the war.<br>So, the stupidity is on Zelensky.","toxicity, threat",bullying
@bahaimran1488,2017-09-03T19:00:40Z,2017-09-03T19:00:40Z,0,"at <a href=""https://www.youtube.com/watch?v=ZJoCo-GYa3E&amp;t=117"">1:57</a> he shouldve tied girl and boy both thier shoes",non-toxic,non-bullying
@pablo-lw9sz,2017-12-29T05:17:54Z,2017-12-29T05:17:54Z,0,thats fucked up,"toxicity, identity_attack, threat",bullying
@tapplayer5953,2025-03-03T10:56:02Z,2025-03-03T10:56:02Z,0,"Trump is not wrong, but i think he should have given zelensky the chance to speak",non-toxic,non-bullying
@mjd7146,2024-05-23T20:23:54Z,2024-05-23T20:23:54Z,0,The US is in a real mess,non-toxic,non-bullying
@Relic-eo5cc,2025-03-01T06:40:35Z,2025-03-01T06:40:35Z,0,"<a href=""https://www.youtube.com/watch?v=v_kTNIYsFnQ&amp;t=249"">4:09</a> trump is a clown 🤡","toxicity, threat",bullying
@swsintellect4253,2017-10-27T01:02:38Z,2017-10-27T01:02:38Z,1,Idiot you broke his phone,"toxicity, threat",bullying
@abhirajsingh4421,2020-09-24T19:16:29Z,2020-09-24T19:16:29Z,2,He is such a coward...a great loser 🙏👎he is nothing without his dad...,"toxicity, threat",bullying
@girlwithkoka2603,2020-05-03T05:40:12Z,2020-05-03T05:40:12Z,0,Suddenly Kangana abla naari? She was fkn dating with a married man...him being a pig or not is not a question I am talking about her,"toxicity, threat",bullying
@berlinbaguette,2025-03-01T14:42:30Z,2025-03-01T14:42:30Z,137,In one month Trump has shown us one of the craziest clown shows we&#39;ve ever seen in the White House. Vance should be ashamed for this display. This shot os literally crazy.,"toxicity, threat",bullying
@oscaii4634,2018-09-22T06:54:05Z,2018-09-22T06:54:05Z,0,What is this shit. Haha.. its not funny.. u a f idiot.,"toxicity, identity_attack, threat",bullying
@stora_simon6386,2017-10-08T16:38:02Z,2017-10-08T16:38:02Z,0,Fick off,"toxicity, identity_attack",bullying
@行平浩介,2018-07-28T05:27:29Z,2018-07-28T05:27:29Z,0,"If i give you only one advice, attention to direction of the shadow",non-toxic,non-bullying
@surend19,2025-03-01T16:21:39Z,2025-03-01T16:21:39Z,1,Zelenskey is ture man ..  If u guys have balls talk against ur long time enemy russia .. trump,toxicity,bullying
@onaofficial418,2017-12-09T16:12:14Z,2017-12-09T16:12:14Z,0,you crazy.. 😂😂,"toxicity, threat",bullying
@gunner.69,2025-03-03T14:29:59Z,2025-03-03T14:29:59Z,1,"F@ck America, the biggest EGO&#39;s on the planet.","toxicity, identity_attack",bullying
@throwedoffTv,2025-03-07T01:28:36Z,2025-03-07T01:28:36Z,0,350 billón dollars yea no wonder they ain’t let him talk 😂,non-toxic,non-bullying
@onaofficial418,2017-12-09T16:12:14Z,2017-12-09T16:12:14Z,0,you crazy.. 😂😂,"toxicity, threat",bullying
@richardgarcia245,2024-04-22T14:44:16Z,2024-04-22T14:44:16Z,0,"Bailiffs are worthless. All fat. All female without combat training. Older, out of shape, slow...what do you expect???","toxicity, threat",bullying
@DreTrill,2024-06-26T06:30:49Z,2024-06-26T06:30:49Z,0,😢😢😢,non-toxic,non-bullying
@DunyaLideri-lj3ly,2025-02-28T18:58:00Z,2025-02-28T18:58:00Z,0,"the US will never really be anyone&#39;s friend or ally.. it is a bandit, mafia-like entity..","toxicity, threat",bullying
@BejibiTV,2017-12-20T18:10:53Z,2017-12-20T18:10:53Z,0,This fucker has pure dedication and patience . That made this vid 100x more funny,"toxicity, identity_attack, threat",bullying
@receptionblcp6463,2025-03-11T08:30:26Z,2025-03-11T08:30:26Z,1,Trump should be arrested for being too pro-russian,toxicity,bullying
@Music-eh9po,2020-09-30T05:54:15Z,2020-09-30T05:54:15Z,1,Hrithik is lier,"toxicity, threat",bullying
@tendarnok,2025-05-12T16:19:54Z,2025-05-12T16:19:54Z,0,superrrrrrrrrr,non-toxic,non-bullying
@許閔翔-i5r,2024-09-05T12:01:28Z,2024-09-05T12:01:28Z,1,晚安  希望 韓國女明星(秀智) 和 (潤娥) 可以嫁個好男人 一輩子幸福+351（每天情人節快樂）,non-toxic,non-bullying
@miskojulia,2025-03-01T11:40:44Z,2025-03-01T11:40:44Z,1,"Zelensky už len z neverbálnej komunikacie nemá chut s nikym diskutovať..😅Len mi pomôžte,preto som prišiel-nic iné….omg",non-toxic,non-bullying
@nerfitupstudios5848,2017-03-27T20:21:02Z,2017-03-27T20:21:02Z,0,Holy shit the first one he dropped his phone,"toxicity, identity_attack",bullying
@hermanmunster714,2025-03-01T16:02:48Z,2025-03-01T16:02:48Z,1,Why did Obama do nothing when Russia invaded the Crimea in 2014? Was he a Putin puppett?,non-toxic,non-bullying
@7ufsa78,2024-05-07T14:10:21Z,2024-05-07T14:10:21Z,1,Nah America is just fucked many places,"toxicity, identity_attack, threat",bullying
@deepfiix,2024-02-01T02:04:00Z,2024-02-01T02:04:41Z,20,"I don&#39;t think anyone would hold it against the families of the victims to lash out, the court should also not hold it against them, and furthermore the court should turn a blind eye to them lashing out.",non-toxic,non-bullying
@GjordanACE,2024-04-14T23:39:18Z,2024-04-14T23:39:18Z,0,That Peyton guy who killed the black victims live streamed it makes me sick his speech is bs,toxicity,bullying
@nataliyashevchuk-xy5lp,2025-02-28T21:05:24Z,2025-02-28T21:11:04Z,0,"Money and power rule the World, there is no longer any room for right  judgment and mercy even in the so-called  Christian government.The Ukrainian people resisted the great army of Putin 3 years ago, when everyone agreed with Putin that he would take Ukraine in 3 days, and now the American government demanding from Zelensky to agree to the peace that Putin dictates through President Trump, saying that he is not in a position to demand anything, is not right. America is responsible for the fact that Putin attacked Ukraine, forcing it to give up its nuclear weapons to Russia, and because the US, together with Great Britain and Russia, signed the Budapest Memorandum, which was supposed to be a guarantee of the inviolability of Ukrainian territory, it is not working.I’m so ashamed how president Tramp treats Ukrainian people and so proud of Ukrainian nation for standing against evil in face of Putin!America as great Nation should give Ukraine not just a peace, but Victory too!",non-toxic,non-bullying
@pratikdatta6943,2025-03-01T05:17:42Z,2025-03-01T05:17:42Z,13,Zelenskey .. what a looser.. he sold his country..,"toxicity, threat",bullying
@shanemeyer1567,2024-02-11T04:22:50Z,2024-02-11T04:22:50Z,0,"WHAT THE FUCK is going on?! This isn&#39;t Tik Tok, ENOUGH with the censored bullshit","toxicity, identity_attack, threat",bullying
@alexandra9985,2025-03-01T10:51:32Z,2025-03-01T10:51:32Z,0,"What was the problem? I did not see any disrespectful behaviour . He was just telling his point of view. The third guy that was sitting with Trump and Zelensky started all this mess, by saying he was disrespectful.  HE should not have been invited",non-toxic,non-bullying
@jitulborah3492,2018-02-04T20:06:21Z,2018-02-04T20:06:21Z,0,Republic TV sucks it is sold to bjps,"toxicity, identity_attack, threat",bullying
@GOOGLE-f5r,2025-03-01T17:28:41Z,2025-03-01T17:28:41Z,0,"Zelenski being ungrateful and trump being disrespectful,right,So,Zelenski actually begging for more Weapons,Dollars and protection while Trump said &quot;I don&#39;t want no more war&quot; Who&#39;s the idiot here ????","toxicity, threat",bullying
